 069050 ,6      ,1
 070220 ,6      ,1
 071665 ,6      ,0
 072900 ,6      ,0
 074860 ,3      ,1
 074900 ,2      ,1
 074940 ,4      ,1
 074980 ,1      ,1
 075020 ,5      ,1
 075020 ,6      ,0
 075805 ,6      ,1
 075805 ,6      ,0
 075905 ,6      ,0
 076005 ,6      ,0
 076050 ,1       ,1
 076050 ,6      ,0
 076050 ,6      ,0
 076150 ,6      ,1
 076250 ,6      ,1
 076275 ,2       ,1
 076275 ,1       ,0
 076275 ,6      ,0
 076375 ,6      ,1
 076475 ,6      ,1
 076500 ,1      ,0
 076500 ,2      ,0
 076500 ,3      ,0
 076500 ,4      ,0
 076500 ,5      ,0
 076500 ,6      ,1
 076650 ,3      ,1
 076690 ,2      ,1
 076730 ,4      ,1
 076770 ,5      ,1
 076810 ,1      ,1
 076810 ,6      ,0
 077610 ,6      ,1
 077610 ,6      ,0
 077710 ,6      ,0
 077710 ,6      ,0
 077810 ,6      ,1
 077850 ,2       ,1
 077850 ,6      ,0
 077850 ,6      ,1
 077950 ,6      ,1
 077950 ,6      ,0
 078050 ,6      ,1
 078050 ,1       ,1
 078050 ,2       ,0
 078050 ,6      ,1
 078150 ,6      ,1
 078150 ,6      ,0
 078250 ,6      ,1
 078260 ,3      ,1
 078400 ,4      ,1
 078585 ,5      ,1
 078600 ,3      ,0
 078600 ,4      ,0
 078600 ,5      ,0
 078670 ,3      ,1
 078870 ,2      ,1
 079066 ,1      ,1
 079050 ,1      ,0
 079050 ,2      ,0
 079050 ,3      ,0
 079120 ,3      ,1
 079320 ,4      ,1
 079520 ,5      ,1
 079600 ,3      ,0
 079600 ,4      ,0
 079600 ,5      ,0
 079650 ,3      ,1
 079775 ,2      ,1
 079900 ,1      ,1
 079950 ,1      ,0
 079950 ,2      ,0
 079950 ,3      ,0
 079990 ,3      ,1
 080150 ,4      ,1
 080300 ,5      ,1
 080350 ,3      ,0
 080350 ,4      ,0
 080350 ,5      ,0
 080400 ,3      ,1
 080600 ,2      ,1
 080800 ,1      ,1
 080850 ,1      ,0
 080850 ,2      ,0
 080850 ,3      ,0
 080875 ,3      ,1
 081050 ,4      ,1
 081200 ,5      ,1
 081250 ,3      ,0
 081250 ,4      ,0
 081250 ,5      ,0
 081250 ,6      ,1
 081325 ,6      ,1
 081400 ,6      ,1
 081500 ,6      ,0
 081500 ,1       ,0
 082200 ,6      ,1
 082200 ,6      ,0
 082944 ,6      ,1
 083180 ,6      ,1
 083180 ,6      ,0
 083390 ,6      ,0
 083390 ,6      ,0
 083907 ,6      ,0
 083907 ,1       ,1
 084750 ,6      ,0
 084950 ,6      ,1
 084950 ,6      ,0
 085250 ,6      ,0
 085250 ,6      ,1
 085390 ,2      ,1
 085800 ,2      ,0
 085800 ,4      ,1
 086330 ,4      ,0
 086330 ,1      ,1
 086900 ,1      ,0
 086900 ,3      ,1
 087420 ,3      ,0
 087420 ,5      ,1
 087850 ,5      ,0
 087850 ,3      ,1
 088200 ,3      ,0
 088200 ,2      ,1
 088700 ,2      ,0
 088700 ,4      ,1
 089321 ,4      ,0
 089321 ,1      ,1
 089750 ,1      ,0
 089750 ,5      ,1
 090160 ,5      ,0
 090160 ,3      ,1
 090560 ,3      ,0
 090560 ,4      ,1
 090955 ,4      ,0
 090955 ,1      ,1
 091390 ,1      ,0
 091390 ,4      ,1
 091875 ,4      ,0
 091875 ,2      ,1
 092260 ,2      ,0
 092260 ,5      ,1
 092680 ,5      ,0
 092680 ,3      ,1
 093128 ,3      ,0
 093128 ,1      ,1
 093560 ,1      ,0
 093560 ,4      ,1
 094008 ,4      ,0
 094008 ,2      ,1
 094491 ,2      ,0
 094491 ,5      ,1
 094911 ,5      ,0
 094911 ,3      ,1
 095390 ,3      ,0
 095390 ,1      ,1
 095814 ,1      ,0
 095814 ,4      ,1
 096285 ,4      ,0
 096285 ,2      ,1
 096700 ,2      ,0
 096700 ,5      ,1
 097149 ,5      ,0
 097149 ,3      ,1
 097597 ,3      ,0
 097597 ,4      ,1
 098050 ,4      ,0
 098050 ,1      ,1
 098500 ,1      ,0
 098500 ,2      ,1
 098900 ,2      ,0
 099270 ,1      ,1
 099270 ,3      ,1
 099270 ,5      ,1
 099530 ,2      ,1
 099530 ,4      ,1
 099902 ,1      ,0
 099902 ,2      ,0
 099902 ,3      ,0
 099902 ,4      ,0
 099902 ,5      ,0
 099902 ,1       ,0
 099902 ,6      ,1
 099902 ,6      ,1
 100790 ,6      ,0
 100790 ,2       ,1
 100790 ,6      ,1
 101646 ,2       ,0
 101646 ,1       ,1
 101646 ,6      ,0
 102510 ,1       ,0
 102510 ,6      ,1
 102510 ,6      ,1
 103370 ,6      ,0
 103370 ,2       ,1
 103370 ,6      ,0
 104219 ,2       ,0
 104219 ,1       ,1
 104219 ,6      ,1
 105100 ,5      ,1
 105500 ,4      ,1
 105900 ,3      ,1
 106300 ,2      ,1
 106500 ,1      ,1
 106500 ,6      ,0
 106600 ,6      ,1
 106700 ,6      ,1
 106800 ,6      ,0
 106900 ,6      ,0
 106900 ,1      ,0
 107000 ,2      ,0
 107100 ,3      ,0
 107200 ,4      ,0
 107300 ,5      ,0
 110282 ,6      ,1
 110282 ,2       ,1
 111138 ,6      ,0
 111138 ,1       ,1
 112042 ,2       ,0
 112042 ,6      ,1
